part_number,manufacturer,condition,price,lead_time,vendor,location,quantity 
BMF303K-PS-C-2-PU-03,BALLUFF,NEW SURPLUS IN SEALED PACKAGING,6,7-10 Days,Greinert & Glatt,Europe,5
BMF305-HW-24,BALLUFF,NEW SURPLUS IN SEALED PACKAGING,2.5,7-10 Days,Greinert & Glatt,Europe,5
BMF305M-PS-C-2-SA4-S49,BALLUFF,NEW SURPLUS IN SEALED PACKAGING,12,7-10 Days,Greinert & Glatt,Europe,5
BNS816-B05-THA-16-602-11,BALLUFF,NEW SURPLUS IN SEALED PACKAGING,120,7-10 Days,Greinert & Glatt,Europe,5
BOS5K-PO-IX10-S75,BALLUFF,NEW SURPLUS IN SEALED PACKAGING,25,7-10 Days,Greinert & Glatt,Europe,5
BOSQ08M-PS-RE10-S49,BALLUFF,NEW SURPLUS,22,7-10 Days,Greinert & Glatt,Europe,5
BWL2222B-001-S4,BALLUFF,NEW SURPLUS IN SEALED PACKAGING,45,7-10 Days,Greinert & Glatt,Europe,5
BK3010,BECKHOFF,REFURBISHED,38,7-10 Days,Greinert & Glatt,Europe,5
BK3100,BECKHOFF,REFURBISHED,68,7-10 Days,Greinert & Glatt,Europe,5
BK3110,BECKHOFF,REFURBISHED,38,7-10 Days,Greinert & Glatt,Europe,5
BK4000,BECKHOFF,REFURBISHED,60,7-10 Days,Greinert & Glatt,Europe,5
EK1122,BECKHOFF,NEW SURPLUS IN SEALED PACKAGING,51,7-10 Days,Greinert & Glatt,Europe,5
EK1122,BECKHOFF,NEW SURPLUS,47,7-10 Days,Greinert & Glatt,Europe,5
EL1904,BECKHOFF,NEW SURPLUS IN SEALED PACKAGING,102,7-10 Days,Greinert & Glatt,Europe,5
EL2904,BECKHOFF,NEW SURPLUS IN SEALED PACKAGING,115,7-10 Days,Greinert & Glatt,Europe,5
EL3058,BECKHOFF,NEW SURPLUS IN SEALED PACKAGING,113,7-10 Days,Greinert & Glatt,Europe,5
EL3154,BECKHOFF,NEW SURPLUS IN SEALED PACKAGING,126,7-10 Days,Greinert & Glatt,Europe,5
EL4032,BECKHOFF,NEW SURPLUS IN SEALED PACKAGING,79,7-10 Days,Greinert & Glatt,Europe,5
EL6631,BECKHOFF,NEW SURPLUS,233,7-10 Days,Greinert & Glatt,Europe,5
EL6692,BECKHOFF,NEW SURPLUS IN SEALED PACKAGING,135,7-10 Days,Greinert & Glatt,Europe,5
EL6731-0010,BECKHOFF,NEW SURPLUS IN SEALED PACKAGING,177,7-10 Days,Greinert & Glatt,Europe,5
EL6751-0010,BECKHOFF,NEW SURPLUS IN SEALED PACKAGING,177,7-10 Days,Greinert & Glatt,Europe,5
EL9100,BECKHOFF,NEW SURPLUS IN SEALED PACKAGING,8.8,7-10 Days,Greinert & Glatt,Europe,5
EL9110,BECKHOFF,NEW SURPLUS IN SEALED PACKAGING,13.5,7-10 Days,Greinert & Glatt,Europe,5
EL9189,BECKHOFF,NEW SURPLUS IN SEALED PACKAGING,12.7,7-10 Days,Greinert & Glatt,Europe,5
EM3702,BECKHOFF,NEW SURPLUS IN SEALED PACKAGING,87,7-10 Days,Greinert & Glatt,Europe,5
EP2316-0008,BECKHOFF,NEW SURPLUS IN SEALED PACKAGING,71,7-10 Days,Greinert & Glatt,Europe,5
EP2339-0003,BECKHOFF,NEW SURPLUS IN SEALED PACKAGING,81,7-10 Days,Greinert & Glatt,Europe,5
EP3184-0002,BECKHOFF,NEW SURPLUS IN SEALED PACKAGING,154,7-10 Days,Greinert & Glatt,Europe,5
EP5101-0011,BECKHOFF,NEW SURPLUS IN SEALED PACKAGING,154,7-10 Days,Greinert & Glatt,Europe,5
