part_number,manufacturer,condition,price,lead_time,vendor,location,quantity 
100-C37EJ00,Allen Bradley,new,1,,Stanlo Automation,USA,1
100-C37EJ10,Allen Bradley,new,1,,Stanlo Automation,USA,1
100-C37F10,Allen Bradley,new,1,,Stanlo Automation,USA,1
100-C37KF00,Allen Bradley,new,1,,Stanlo Automation,USA,1
100-C37KJ10,Allen Bradley,new,1,,Stanlo Automation,USA,1
100-C37KL10,Allen Bradley,new,1,,Stanlo Automation,USA,1
100-C37L00,Allen Bradley,new,1,,Stanlo Automation,USA,1
100-C37UD10,Allen Bradley,new,1,,Stanlo Automation,USA,1
100-C37ZJ00,Allen Bradley,new,1,,Stanlo Automation,USA,1
100-C3D00,Allen Bradley,new,1,,Stanlo Automation,USA,1
100-C40*400,Allen Bradley,new,1,,Stanlo Automation,USA,1
100-C40D400,Allen Bradley,new,1,,Stanlo Automation,USA,1
100-C40EJ200,Allen Bradley,new,1,,Stanlo Automation,USA,1
100-C40EJ400,Allen Bradley,new,1,,Stanlo Automation,USA,1
100-C40Z*400,Allen Bradley,new,1,,Stanlo Automation,USA,1
100-C43*00,Allen Bradley,new,1,,Stanlo Automation,USA,1
100-C43B10,Allen Bradley,new,1,,Stanlo Automation,USA,1
100-C43D*00,Allen Bradley,new,1,,Stanlo Automation,USA,1
100-C43D10,Allen Bradley,new,1,,Stanlo Automation,USA,1
100-C43DJ10,Allen Bradley,new,1,,Stanlo Automation,USA,1
100-C43E00,Allen Bradley,new,1,,Stanlo Automation,USA,1
100-C43EJ00,Allen Bradley,new,1,,Stanlo Automation,USA,1
100-C43EJ10,Allen Bradley,new,1,,Stanlo Automation,USA,1
100-C43KD00,Allen Bradley,new,1,,Stanlo Automation,USA,1
100-C43KF00,Allen Bradley,new,1,,Stanlo Automation,USA,1
100-C43KJ01,Allen Bradley,new,1,,Stanlo Automation,USA,1
100-C43KJ10,Allen Bradley,new,1,,Stanlo Automation,USA,1
100-C43UD10,Allen Bradley,new,1,,Stanlo Automation,USA,1
100-C43ZJ00,Allen Bradley,new,1,,Stanlo Automation,USA,1
100-C55D00,Allen Bradley,new,1,,Stanlo Automation,USA,1
100-C55D01,Allen Bradley,new,1,,Stanlo Automation,USA,1
100-C55D10,Allen Bradley,new,1,,Stanlo Automation,USA,1
100-C55EJ10,Allen Bradley,new,1,,Stanlo Automation,USA,1
100-C60*00,Allen Bradley,new,1,,Stanlo Automation,USA,1
100-C60A00,Allen Bradley,new,1,,Stanlo Automation,USA,1
100-C60C00,Allen Bradley,new,1,,Stanlo Automation,USA,1
100-C60D00,Allen Bradley,new,1,,Stanlo Automation,USA,1
100-C60D10,Allen Bradley,new,1,,Stanlo Automation,USA,1
100-C60DA00,Allen Bradley,new,1,,Stanlo Automation,USA,1
100-C60DJ00,Allen Bradley,new,1,,Stanlo Automation,USA,1
100-C60DJ10,Allen Bradley,new,1,,Stanlo Automation,USA,1
100-C60J00,Allen Bradley,new,1,,Stanlo Automation,USA,1
100-C60K00,Allen Bradley,new,1,,Stanlo Automation,USA,1
100-C60KF10,Allen Bradley,new,1,,Stanlo Automation,USA,1
100-C72*00,Allen Bradley,new,1,,Stanlo Automation,USA,1
100-C72D00,Allen Bradley,new,1,,Stanlo Automation,USA,1
100-C72D10,Allen Bradley,new,1,,Stanlo Automation,USA,1
100-C72DJ00,Allen Bradley,new,1,,Stanlo Automation,USA,1
100-C72DJ10,Allen Bradley,new,1,,Stanlo Automation,USA,1
100-C85*00 ,Allen Bradley,new,1,,Stanlo Automation,USA,1
100-C85D00,Allen Bradley,new,1,,Stanlo Automation,USA,1
100-C85D01,Allen Bradley,new,1,,Stanlo Automation,USA,1
100-C85D10,Allen Bradley,new,1,,Stanlo Automation,USA,1
100-C85DJ00,Allen Bradley,new,1,,Stanlo Automation,USA,1
100-C85DJ10,Allen Bradley,new,1,,Stanlo Automation,USA,1
100-C85DY00,Allen Bradley,new,1,,Stanlo Automation,USA,1
100-C85KD00,Allen Bradley,new,1,,Stanlo Automation,USA,1
100-C85KD10,Allen Bradley,new,1,,Stanlo Automation,USA,1
100-C85KJ10,Allen Bradley,new,1,,Stanlo Automation,USA,1
100-C90D400,Allen Bradley,new,1,,Stanlo Automation,USA,1
100-C97D10,Allen Bradley,new,1,,Stanlo Automation,USA,1
100-CR12DJ10,Allen Bradley,new,1,,Stanlo Automation,USA,1
100-D110,Allen Bradley,new,1,,Stanlo Automation,USA,1
100-D110EZD11,Allen Bradley,new,1,,Stanlo Automation,USA,1
100-D110ZJ22L,Allen Bradley,new,1,,Stanlo Automation,USA,1
100-D115,Allen Bradley,new,1,,Stanlo Automation,USA,1
100-D115D11,Allen Bradley,new,1,,Stanlo Automation,USA,1
100-D115ED11,Allen Bradley,new,1,,Stanlo Automation,USA,1
100-D115EZJ11,Allen Bradley,new,1,,Stanlo Automation,USA,1
100-D140,Allen Bradley,new,1,,Stanlo Automation,USA,1
100-D140D00,Allen Bradley,new,1,,Stanlo Automation,USA,1
100-D140D11,Allen Bradley,new,1,,Stanlo Automation,USA,1
100-D140EA11,Allen Bradley,new,1,,Stanlo Automation,USA,1
100-D140ED00,Allen Bradley,new,1,,Stanlo Automation,USA,1
100-D180,Allen Bradley,new,1,,Stanlo Automation,USA,1
100-D180-VLTB,Allen Bradley,new,1,,Stanlo Automation,USA,1
100-D180A00,Allen Bradley,new,1,,Stanlo Automation,USA,1
100-D180B00,Allen Bradley,new,1,,Stanlo Automation,USA,1
100-D180B11,Allen Bradley,new,1,,Stanlo Automation,USA,1
100-D180D00,Allen Bradley,new,1,,Stanlo Automation,USA,1
100-D180D11,Allen Bradley,new,1,,Stanlo Automation,USA,1
100-D180ED11,Allen Bradley,new,1,,Stanlo Automation,USA,1
100-D210,Allen Bradley,new,1,,Stanlo Automation,USA,1
100-D210ED11,Allen Bradley,new,1,,Stanlo Automation,USA,1
100-D210EZJ00,Allen Bradley,new,1,,Stanlo Automation,USA,1
100-D250,Allen Bradley,new,1,,Stanlo Automation,USA,1
100-D250EA11,Allen Bradley,new,1,,Stanlo Automation,USA,1
100-D250ED00,Allen Bradley,new,1,,Stanlo Automation,USA,1
100-D250ED11,Allen Bradley,new,1,,Stanlo Automation,USA,1
100-D250EN11,Allen Bradley,new,1,,Stanlo Automation,USA,1
100-D300,Allen Bradley,new,1,,Stanlo Automation,USA,1
100-D300ED11,Allen Bradley,new,1,,Stanlo Automation,USA,1
100-D420ED11,Allen Bradley,new,1,,Stanlo Automation,USA,1
100-D420EN11,Allen Bradley,new,1,,Stanlo Automation,USA,1
100-D630ED11,Allen Bradley,new,1,,Stanlo Automation,USA,1
100-D95,Allen Bradley,new,1,,Stanlo Automation,USA,1
100-D95KT00,Allen Bradley,new,1,,Stanlo Automation,USA,1
100-DAE-210,Allen Bradley,new,1,,Stanlo Automation,USA,1
100-DAE-420,Allen Bradley,new,1,,Stanlo Automation,USA,1
100-DC-110,Allen Bradley,new,1,,Stanlo Automation,USA,1
100-DC-180,Allen Bradley,new,1,,Stanlo Automation,USA,1
100-DCE-180,Allen Bradley,new,1,,Stanlo Automation,USA,1
100-DCE-250,Allen Bradley,new,1,,Stanlo Automation,USA,1
100-DCE-420,Allen Bradley,new,1,,Stanlo Automation,USA,1
100-DFSC110,Allen Bradley,new,1,,Stanlo Automation,USA,1
100-DFSV550,Allen Bradley,new,1,,Stanlo Automation,USA,1
100-DHF420,Allen Bradley,new,1,,Stanlo Automation,USA,1
100-DL180,Allen Bradley,new,1,,Stanlo Automation,USA,1
100-DL420,Allen Bradley,new,1,,Stanlo Automation,USA,1
100-DL630,Allen Bradley,new,1,,Stanlo Automation,USA,1
100-DNY41R,Allen Bradley,new,1,,Stanlo Automation,USA,1
100-DNY42R,Allen Bradley,new,1,,Stanlo Automation,USA,1
100-DS1-11,Allen Bradley,new,1,,Stanlo Automation,USA,1
100-DS2-11,Allen Bradley,new,1,,Stanlo Automation,USA,1
100-DS2-20,Allen Bradley,new,1,,Stanlo Automation,USA,1
100-DTB180,Allen Bradley,new,1,,Stanlo Automation,USA,1
100-E116KD11,Allen Bradley,new,1,,Stanlo Automation,USA,1
100-E116KJ11,Allen Bradley,new,1,,Stanlo Automation,USA,1
100-E116KJ11L,Allen Bradley,new,1,,Stanlo Automation,USA,1
100-E1260EJ11,Allen Bradley,new,1,,Stanlo Automation,USA,1
100-E146KD11,Allen Bradley,new,1,,Stanlo Automation,USA,1
100-E190ED11,Allen Bradley,new,1,,Stanlo Automation,USA,1
100-E190KD11,Allen Bradley,new,1,,Stanlo Automation,USA,1
100-E190KJ11,Allen Bradley,new,1,,Stanlo Automation,USA,1
100-E190KN11,Allen Bradley,new,1,,Stanlo Automation,USA,1
100-E265ED11,Allen Bradley,new,1,,Stanlo Automation,USA,1
100-E265KD11,Allen Bradley,new,1,,Stanlo Automation,USA,1
100-E265KY11,Allen Bradley,new,1,,Stanlo Automation,USA,1
100-E305KD11,Allen Bradley,new,1,,Stanlo Automation,USA,1
100-E400ED11,Allen Bradley,new,1,,Stanlo Automation,USA,1
100-ES1-11,Allen Bradley,new,1,,Stanlo Automation,USA,1
100-ES1-B01,Allen Bradley,new,1,,Stanlo Automation,USA,1
100-ES2-11,Allen Bradley,new,1,,Stanlo Automation,USA,1
100-ETB180,Allen Bradley,new,1,,Stanlo Automation,USA,1
100-ETB3,Allen Bradley,new,1,,Stanlo Automation,USA,1
100-ETL205,Allen Bradley,new,1,,Stanlo Automation,USA,1
100-ETL370,Allen Bradley,new,1,,Stanlo Automation,USA,1
100-ETS146L,Allen Bradley,new,1,,Stanlo Automation,USA,1
100-ETS205L,Allen Bradley,new,1,,Stanlo Automation,USA,1
100-ETS370L,Allen Bradley,new,1,,Stanlo Automation,USA,1
100-ETY30,Allen Bradley,new,1,,Stanlo Automation,USA,1
100-FA04,Allen Bradley,new,1,,Stanlo Automation,USA,1
100-FA11,Allen Bradley,new,1,,Stanlo Automation,USA,1
100-FA13,Allen Bradley,new,1,,Stanlo Automation,USA,1
100-FA20,Allen Bradley,new,1,,Stanlo Automation,USA,1
100-FA22,Allen Bradley,new,1,,Stanlo Automation,USA,1
100-FA31,Allen Bradley,new,1,,Stanlo Automation,USA,1
100-FA40,Allen Bradley,new,1,,Stanlo Automation,USA,1
100-FAB11,Allen Bradley,new,1,,Stanlo Automation,USA,1
100-FAL22,Allen Bradley,new,1,,Stanlo Automation,USA,1
100-FB11,Allen Bradley,new,1,,Stanlo Automation,USA,1
100-FPTA180,Allen Bradley,new,1,,Stanlo Automation,USA,1
100-FPTA30,Allen Bradley,new,1,,Stanlo Automation,USA,1
100-FPTB30,Allen Bradley,new,1,,Stanlo Automation,USA,1
100-FSC280,Allen Bradley,new,1,,Stanlo Automation,USA,1
100-FSD250,Allen Bradley,new,1,,Stanlo Automation,USA,1
100-FSV136,Allen Bradley,new,1,,Stanlo Automation,USA,1
100-FSV55,Allen Bradley,new,1,,Stanlo Automation,USA,1
100-G1200KU12,Allen Bradley,new,1,,Stanlo Automation,USA,1
100-JE,Allen Bradley,new,1,,Stanlo Automation,USA,1
100-K0510,Allen Bradley,new,1,,Stanlo Automation,USA,1
100-K05D01,Allen Bradley,new,1,,Stanlo Automation,USA,1
100-K05D10,Allen Bradley,new,1,,Stanlo Automation,USA,1
100-K05D300,Allen Bradley,new,1,,Stanlo Automation,USA,1
100-K05DJ01,Allen Bradley,new,1,,Stanlo Automation,USA,1
100-K05DJ10,Allen Bradley,new,1,,Stanlo Automation,USA,1
100-K05KJ10,Allen Bradley,new,1,,Stanlo Automation,USA,1
100-K05KJ200,Allen Bradley,new,1,,Stanlo Automation,USA,1
100-K05ZJ01,Allen Bradley,new,1,,Stanlo Automation,USA,1
100-K05ZJ10,Allen Bradley,new,1,,Stanlo Automation,USA,1
100-K05ZJ400,Allen Bradley,new,1,,Stanlo Automation,USA,1
100-K05ZT200,Allen Bradley,new,1,,Stanlo Automation,USA,1
100-K09-10,Allen Bradley,new,1,,Stanlo Automation,USA,1
100-K09D10,Allen Bradley,new,1,,Stanlo Automation,USA,1
100-K09D400,Allen Bradley,new,1,,Stanlo Automation,USA,1
100-K09DJ01,Allen Bradley,new,1,,Stanlo Automation,USA,1
100-K09DJ10,Allen Bradley,new,1,,Stanlo Automation,USA,1
100-K09DJ300,Allen Bradley,new,1,,Stanlo Automation,USA,1
100-K09KF01,Allen Bradley,new,1,,Stanlo Automation,USA,1
100-K09ZJ01M,Allen Bradley,new,1,,Stanlo Automation,USA,1
100-K09ZJ10,Allen Bradley,new,1,,Stanlo Automation,USA,1
100-K09ZY10,Allen Bradley,new,1,,Stanlo Automation,USA,1
100-K12 10,Allen Bradley,new,1,,Stanlo Automation,USA,1
100-K12*01,Allen Bradley,new,1,,Stanlo Automation,USA,1
100-K12D10,Allen Bradley,new,1,,Stanlo Automation,USA,1
100-K12D10M,Allen Bradley,new,1,,Stanlo Automation,USA,1
100-K12D200,Allen Bradley,new,1,,Stanlo Automation,USA,1
100-K12DJ01,Allen Bradley,new,1,,Stanlo Automation,USA,1
100-K12ZJ01,Allen Bradley,new,1,,Stanlo Automation,USA,1
100-KFA11E,Allen Bradley,new,1,,Stanlo Automation,USA,1
100-KFA20E,Allen Bradley,new,1,,Stanlo Automation,USA,1
100-KFA22Z,Allen Bradley,new,1,,Stanlo Automation,USA,1
100-KFA31Z,Allen Bradley,new,1,,Stanlo Automation,USA,1
100-KFA40E,Allen Bradley,new,1,,Stanlo Automation,USA,1
100-KFC11,Allen Bradley,new,1,,Stanlo Automation,USA,1
100-KFC22,Allen Bradley,new,1,,Stanlo Automation,USA,1
100-KFSD250,Allen Bradley,new,1,,Stanlo Automation,USA,1
100-KFSV55,Allen Bradley,new,1,,Stanlo Automation,USA,1
100-KPR,Allen Bradley,new,1,,Stanlo Automation,USA,1
100-KR09D01,Allen Bradley,new,1,,Stanlo Automation,USA,1
100-KRFA40E,Allen Bradley,new,1,,Stanlo Automation,USA,1
100-KRFC11,Allen Bradley,new,1,,Stanlo Automation,USA,1
100-M05N*3,Allen Bradley,new,1,,Stanlo Automation,USA,1
100-M05NZ*31,Allen Bradley,new,1,,Stanlo Automation,USA,1
100-M05NZ363,Allen Bradley,new,1,,Stanlo Automation,USA,1
100-M05NZD2431,Allen Bradley,new,1,,Stanlo Automation,USA,1
100-M09NKD3,Allen Bradley,new,1,,Stanlo Automation,USA,1
100-M09NZ,Allen Bradley,new,1,,Stanlo Automation,USA,1
100-M09NZ243,Allen Bradley,new,1,,Stanlo Automation,USA,1
100-M09NZ2431,Allen Bradley,new,1,,Stanlo Automation,USA,1
100-MC,Allen Bradley,new,1,,Stanlo Automation,USA,1
100-MCA00,Allen Bradley,new,1,,Stanlo Automation,USA,1
100-MCA02,Allen Bradley,new,1,,Stanlo Automation,USA,1
100-MO5N * 3,Allen Bradley,new,1,,Stanlo Automation,USA,1
100-NX101D,Allen Bradley,new,1,,Stanlo Automation,USA,1
100-NX205D,Allen Bradley,new,1,,Stanlo Automation,USA,1
100-NX207C,Allen Bradley,new,1,,Stanlo Automation,USA,1
100-NX207D,Allen Bradley,new,1,,Stanlo Automation,USA,1
100-SA01,Allen Bradley,new,1,,Stanlo Automation,USA,1
100-SA10,Allen Bradley,new,1,,Stanlo Automation,USA,1
100-SA11,Allen Bradley,new,1,,Stanlo Automation,USA,1
100-SA20,Allen Bradley,new,1,,Stanlo Automation,USA,1
100-SB01,Allen Bradley,new,1,,Stanlo Automation,USA,1
100-SB10,Allen Bradley,new,1,,Stanlo Automation,USA,1
100-SB11,Allen Bradley,new,1,,Stanlo Automation,USA,1
100-SB20,Allen Bradley,new,1,,Stanlo Automation,USA,1
1000-FHCD6-PB1,Allen Bradley,new,1,,Stanlo Automation,USA,1
100A18ND3,Allen Bradley,new,1,,Stanlo Automation,USA,1
100A75ND3,Allen Bradley,new,1,,Stanlo Automation,USA,1
100C-09EJ10,Allen Bradley,new,1,,Stanlo Automation,USA,1
100C09EJ01,Allen Bradley,new,1,,Stanlo Automation,USA,1
100C12ZJ10,Allen Bradley,new,1,,Stanlo Automation,USA,1
100C30EJ00,Allen Bradley,new,1,,Stanlo Automation,USA,1
100c72dp00,Allen Bradley,new,1,,Stanlo Automation,USA,1
100C97DJ10,Allen Bradley,new,1,,Stanlo Automation,USA,1
100EF22,Allen Bradley,new,1,,Stanlo Automation,USA,1
100K09ZJ01,Allen Bradley,new,1,,Stanlo Automation,USA,1
100L-C20ND4,Allen Bradley,new,1,,Stanlo Automation,USA,1
100NX66,Allen Bradley,new,1,,Stanlo Automation,USA,1
